Nom français,Nom anglais,Categorie,Nom espagnol,Définition française,Définition anglaise,Illustration,Illustration 2,Illustration 3,Source
"Trusquin, jauge de traçage, trusquin à mortaise","Marking gauge, scratch gauge, mortise gauge - dual marking gauge",Outil - instrument - machine,,"Outils de traçage à la pointe ou à la lame, opérant par translation sur une surface d'appui de référence. Le trusquin à mortaise a deux pointes ou deux lames réglables pour marquer l'emplacement d'une mortaise.",Used in woodworking and metalworking to mark out lines for cutting or other operations. The purpose of the gauge is to scribe a line parallel to a reference edge or surface. ,http://simonbaudry.free.fr/dico-meca/marking_mortaise_gauge.jpg,http://simonbaudry.free.fr/dico-meca/2019-02-23_trusquin.png,,
Méplat,"Meplat, Flattening",Fonction mécanique,,Surface plane sur une pièce à section circulaire. ,,http://simonbaudry.free.fr/dico-meca/2017-08-28_160131meplat.png,,,
Fraisage,Milling,Procédé de manufacturing,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_151547fraisage.png,,,
Boite à onglets,Mitre box,Outil - instrument - machine,,,,,,,
Moulure,Molding (Decorative),"Design mécanique, Travail du bois",,"Élément d'ornement allongé le long d'une arête, en saillie ou en creux. Travaillée à la toupie.",Strip of material with various profiles used to cover transitions between surfaces or for decoration.,http://simonbaudry.free.fr/dico-meca/2019-03-20_142405.png,,,
Mortaise,Mortise,Fonction mécanique,,"Trou souvent rectangulaire pratiqué ou aménagé dans une partie d'un assemblage pour recevoir un élément saillant d'une autre pièce de cet assemblage, le tenon.","A mortise-and-tenon joint  is a means of joining two pieces of wood at an angle (usually 90°) to each other. A protruding tenon, cut at the end of one piece, fits into a corresponding recess, called a mortise, in the other.",http://simonbaudry.free.fr/dico-meca/Mortise_and_tenon.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_160228tenon-mortaise.png,,
Bédane (masculin),Mortise chisel,"Outil - instrument - machine, Travail du bois",,"(Nom masculin) Outil proche du ciseau à bois, mais plus épais, ce qui lui donne plus de résistance.",Thick chisel,http://simonbaudry.free.fr/dico-meca/bedane.jpg,,,
Manchon,Muff,Composant mécanique,,"Pièce cylindrique creuse à placer sur des pièces cylindriques pleines, pour en assurer notamment l’assemblage par serrage ou par frettage.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_160147manchon.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155520clavette-douille-manchon.png,,
Encoche,Notch,Design mécanique,,Petite entaille. ,,http://simonbaudry.free.fr/dico-meca/2017-08-29_145407encoche-entaille.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_135202encoche.png,,
Entaille,"Notch, indent",Design mécanique,,"system used to turn a screw. At a minimum, it is a set of shaped cavities and protrusions on the screw head that allows torque to be applied to it. Usually, it also involves a mating tool, such as a screwdriver, that is used to turn it. https://en.wikipedia.org/wiki/List_of_screw_drives",,http://simonbaudry.free.fr/dico-meca/2017-08-29_135616entailles.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_145407encoche-entaille.png,,
"Oblong, boutonnière",Oblong,Fonction mécanique,,"Trou plus long que large, terminé par deux demi cylindres. ",,http://simonbaudry.free.fr/dico-meca/2017-08-28_142457oblong.png,,,
Semelle,Pad,Fonction mécanique,,Surface d’une pièce généralement plane et servant d’appui. ,,http://simonbaudry.free.fr/dico-meca/2017-08-29_145650semelle.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_154712semelle.png,,
Plaque de garde,Pedestal jaw,"Composant mécanique, élément de fixation",,"Plaque généralement percée de deux trous, s'assemblant dans la saignée ou contre le méplat ou la rainure radiale d'un axe afin d'en assurer son maintien axial (axe z de l'axe) dans l'alésage d'une troisième pièce dans laquelle la plaque est fixée. Joue le rôle d'un circlip.",,http://simonbaudry.free.fr/dico-meca/2017-10-04_142159-plaque-garde.png,http://simonbaudry.free.fr/dico-meca/2017-10-04_142225-plaque-de-garde.png,,
Goupille,Pin,Composant mécanique,,"Tige ou broche, cylindrique ou conique, destinée à l’assemblage, à l’immobilisation ou au repérage de deux pièces.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_160007goupille-gouge.png,,,
Téton,Pin,Fonction mécanique,,"Petite saillie de forme cylindrique. Vis téton : vis venant appuyer sur une autre pièce. Pour l'entrainement - arrêt en rotation d'un axe avec méplat, la vis téton doit être au niveau du méplat afin de garantir la coaxiallité. Les éventuels changements de sens de rotation peuvent cependant entrainer un jeu angulaire.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_160614teton.png,,,
Pignon d'engrenage,Pinion gear,Transmission de puissance,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_152928pignon-roue-entraxe.png,,,
Piston,Piston,Composant mécanique,,"Pièce rigide de section généralement circulaire coulissant dans un cylindre de forme complémentaire. Le déplacement du piston entraîne une variation de volume de la chambre, partie située au-dessus du piston, entre celui-ci et le cylindre. Un piston permet la conversion d'une pression en un travail, ou réciproquement.","Component of reciprocating engines, reciprocating pumps, gas compressors and pneumatic cylinders, among other similar mechanisms. It is the moving component that is contained by a cylinder and is made gas-tight by piston rings.",http://simonbaudry.free.fr/dico-meca/piston-coupe.png,http://simonbaudry.free.fr/dico-meca/piston4t.gif,,
"Pas, avance, nombre de filets d'une vis","Pitch, lead, start of a screw",Paramètre,,"Pas : Distance axiale du filet sur un tour.  Conduite : Distance parcourue par un écrou sur un tour.  Nombre de filets : Généralement 1, 2 ou 4 filets.  Avance = Pas x Nombre de fillets",Pitch Pitch is the distance between screw grooves and is commonly used with inch sized products and specified as threads per inch.  Lead Lead is the linear travel the nut makes per one screw revolution and is how ball screws are typically specified.  The pitch and lead are equal with single start screws.  For multiple start screws the lead is the pitch multiplied by the number of starts.,http://simonbaudry.free.fr/dico-meca/difference-between-pitch-lead.jpg,http://simonbaudry.free.fr/dico-meca/Lead_and_pitch_in_screws.png,,
Pivot,Pivot,Géométrie,,"Partie cylindrique terminale d’un arbre disposé verticalement, par laquelle il est supporté.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_160336pivot.png,,,
"Crapaudine, palier vertical à charge axiale","Pivot bearing, socket bearing, step bearing",Composant mécanique,,Pièce de métal constituée par un palier de butée destiné à recevoir l'extrémité du pivot d'un arbre vertical et un palier de guidage destiné à absorber les efforts radiaux. Le but est de permettre la rotation d'un arbre dont la charge est dans le prolongement de son axe.,,http://simonbaudry.free.fr/dico-meca/2017-10-04_150017crapaudine.png,,,
Liaison appui plan,Planar joint,Cinématique,,,,http://simonbaudry.free.fr/dico-meca/2017-09-12_180427-appui-plan.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Engrenages épicycloïdaux,Planetary gears,"Ensemble de pièces mécaniques, Transmission de puissance",,,,http://simonbaudry.free.fr/dico-meca/planetary-gears.jpg,,,
Pince,Plier,Outil - instrument - machine,,"Outil mécanique ayant pour fonction de pincer, maintenir, serrer, couper, déformer un objet ou une partie d'objet.",Hand tool used to hold objects firmly.,http://simonbaudry.free.fr/dico-meca/800px-Tool-pliers.jpg,http://simonbaudry.free.fr/dico-meca/Work_shop_clamps.JPG,,
Evidement,Pocket,Design mécanique,,Vide prévu dans une pièce pour en diminuer le poids ou pour réduire une surface d’appui. ,,http://simonbaudry.free.fr/dico-meca/2017-08-28_155438evidement-degagement.png,,,
Profilé,"Profile, section, T-slotted bar",Design mécanique,,Métal laminé suivant une section constante. ,Laminated bar metal following a constant section.,http://simonbaudry.free.fr/dico-meca/2017-08-29_145537profile.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_153903profile.png,,
Rapporteur d'angles,Protractor,Outil,,,,,,,
Saillie,"Protuding, jut",Design mécanique,,Partie saillante qui fait relief sur une surface unie.,,,,,
Poulie,"Pulley, driver, block",Transmission de puissance,,"Désigne l'ensemble roue - courroie, ou bien uniquement la roue qui entraîne ou est entraînée par une courroie, corde, ou chaîne.",Wheel on an axle or shaft that is designed to support movement and change of direction of a taut cable.,http://simonbaudry.free.fr/dico-meca/2017-11-08_151941-poulie-courroie.jpg,http://simonbaudry.free.fr/dico-meca/2017-11-08_152239poulie.jpg,,
Crémaillère,Rack and pinion,Ensemble de pièces mécaniques,,"Éléments d'engrenages composés d'un pignon et d'une barre dentée, ou secteur de couronne dentée de rayon très grand (infini, si la crémaillère est parfaitement droite). Son mouvement rotatif (via le pignon) devient alors un mouvement linéaire.","Type of linear actuator that comprises a pair of gears which convert rotational motion into linear motion. A circular gear called ""the pinion"" engages teeth on a linear ""gear"" bar called ""the rack""; rotational motion applied to the pinion causes the rack to move relative to the pinion, thereby translating the rotational motion of the pinion into linear motion.",http://simonbaudry.free.fr/dico-meca/cremaillere.jpg,,,
Rayon,Radius,Géométrie,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_153618radius.png,,,
Râpe,Rasp,Outil,,,,,,,
Liaison pivot,"Revolute joint, pin joint, hinge joint",Cinématique,,,Lower pair joint.,http://simonbaudry.free.fr/dico-meca/2017-09-12_180446-pivot.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Nervure,Rib,Design mécanique,,Partie saillante d’une pièce destinée à en augmenter la résistance ou la rigidité. ,,http://simonbaudry.free.fr/dico-meca/2017-08-28_142444nervure.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155900depouille-nervure-bossage-evidement.png,,
Liason encastrement,Rigid joint,Cinématique,,,,http://simonbaudry.free.fr/dico-meca/2018-04-26_152153-encastrement.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne https://fr.wikipedia.org/wiki/Liaison_(m%C3%A9canique)
Bague,"Ring, Shaft collar",Composant mécanique,,"Pièce fixée ou libre placée autour d'un axe ou d'un arbre. Peut faire office d'entretoise ou de pallier lisse, ou bien de collier de sertissage.","Machine component found in many power transmission applications, most notably motors and gearboxes. The collars are used as mechanical stops, locating components, and bearing faces.",http://simonbaudry.free.fr/dico-meca/2017-08-29_142616bague.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_142641.png,,
Rivet,Rivet,Élement de fixation,,"Elément d'assemblage et de fixation permanent. Il se présente sous la forme d'une tige cylindrique, généralement métallique, pleine ou creuse qui est munie à l'une de ses extrémités d'une « tête », c'est-à-dire une partie de section plus grande. L'autre extrémité sera aplatie et élargie par écrasement, pour solidariser les éléments qu'on veut riveter ensemble. C'est le rivetage.",,http://simonbaudry.free.fr/dico-meca/2017-08-29_130339rivetage.png,,,
Bielle,"Rod, connecting rod, conrod","Eléments tournants, Composant mécanique",,"Pièce dotée de deux articulations, une à chaque extrémité, dans le but de transmettre une force, un mouvement ou une position1. L'articulation à chaque extrémité de la bielle peut être un pivot ou une rotule.","Shaft which connects a piston to a crank or crankshaft in a reciprocating engine. Together with the crank, it forms a simple mechanism that converts reciprocating motion into rotating motion.",http://simonbaudry.free.fr/dico-meca/1200px-Bielle_(face).svg.png,,,
Galet,Roller,Composant mécanique,,"Petit rouleau tournant autour de son axe, à surface périphérique cylindrique ou torique.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_155347clavette-came-shaft-galet.png,,,
Cale à poncer,Sanding block,Outil - instrument - machine,,"Pièce en bois, en liège, en plastique ou en caoutchouc servant à recevoir un abrasif afin de poncer à la main à plat d'une manière uniforme.","Block used to hold sandpaper. In its simplest form, it is a block of wood or cork with one smooth flat side. The user wraps the sandpaper around the block, and holds it in place (by inserting a fitted piece of cardboard under the sandpaper, one can soften the impact on the wood and protect against tears or uneven wear on the sandpaper). Sanding blocks are helpful because they prevent the ""waves"" created by plain sandpaper.",http://simonbaudry.free.fr/dico-meca/cale-a-poncer.png,http://simonbaudry.free.fr/dico-meca/cale-a-poncer-2.png,,
,Sawrasp,Outil,,,,,,,
"Décrochement, redent",Sawtooth,Fonction mécanique,,Surface en retrait d’une surface et parallèle à celle-ci. ,,http://simonbaudry.free.fr/dico-meca/2017-08-29_145713decrochement.png,,,
Vis,Screw,Élement de fixation,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_150103vis.png,,,
Vis entre cuir et chair,Screw between two parts,Élement de fixation,,"Vis placée à cheval sur deux pièces cylindriques emmanchées, pour empêcher un déplacement relatif angulaire.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_160523vis-entre-cuir-et-chair.png,,,
Emprunte de tournevis,Screw drive,Outil - instrument - machine,,Emprunte de tournevis permettant selon le type et la taille de visser ou dévisser différents types de vis.,"system used to turn a screw. At a minimum, it is a set of shaped cavities and protrusions on the screw head that allows torque to be applied to it. Usually, it also involves a mating tool, such as a screwdriver, that is used to turn it. https://en.wikipedia.org/wiki/List_of_screw_drives",http://simonbaudry.free.fr/dico-meca/2019-03-20_143848screwdrives.png,,,
Trou de vis,Screw hole,Élement de fixation,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_155357-trou%20taraude.png,,,
Liaison hélicoïdale,Screw joint,Cinématique,,,Lower pair joint.,http://simonbaudry.free.fr/dico-meca/2017-09-12_180528-helicoidale.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Tournevis,Screwdriver,Outil - instrument - machine,,Outil de poing utilisé entre autres pour l'insertion et le retrait des vis dans les matériaux. ,"Tool, manual or powered, for screwing and unscrewing (inserting and removing) screws.",http://simonbaudry.free.fr/dico-meca/2019-03-20_143530trounevis.png,,,
Equerre,"Set square, T-square","Composant mécanique, Outil - instrument - machine",,Instrument formé de deux pièces ajustées à angle droit. - ou - Pièce en deux plans à angle droit permettant la fixation à 90° de deux éléments.  https:--fr.wikipedia.org-wiki-%C3%89querre,,http://simonbaudry.free.fr/dico-meca/EQUERRE.jpg,http://simonbaudry.free.fr/dico-meca/2018-03-28_101743EQUERRES.png,,
Manille,"Shackle, gyve","Composant mécanique, Elément de fixation",,"ièce en acier forgé constituée d'un étrier, dont la forme peut être variable (U, lyre, rond), fermée par un axe mobile : celui-ci peut être un boulon ou un système plus sophistiqué. La manille sert à relier, généralement de manière provisoire, un cordage ou une chaîne avec des objets sur lesquels une traction doit s'exercer verticalement ou horizontalement. La liaison peut être réalisée directement sur l'objet, si celui-ci comporte un anneau, ou par l'intermédiaire d'un cordage, d'une élingue ou d'une chaîne solidaire de l'objet.","U-shaped piece of metal secured with a clevis pin or bolt across the opening, or a hinged metal loop secured with a quick-release locking pin mechanism.",,,,
Arbre,Shaft,"Eléments tournants, Transmission, Composant mécanique",,"Cylindre ou cone jouant le rôle d'axe de rotation, transmettant un couple.","Rotating machine element, usually circular in cross section, which is used to transmit power from one part to another, or from a machine which produces power to a machine which absorbs power.",http://simonbaudry.free.fr/dico-meca/2017-08-28_155246axe.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_142511axe.png,,
Tourillon,Shaft journal,Fonction mécanique,,Partie cylindrique d’un arbre par laquelle il est supporté dans son mouvement de rotation (voir coussinet et palier).,The part of a shaft or axle that rests on bearings.,http://simonbaudry.free.fr/dico-meca/2017-08-28_155246axe.png,http://simonbaudry.free.fr/dico-meca/vilebrequin-maneton-tourillon.jpg,,
Tige,Shank,Design mécanique,,"Longue et fine pièce à section généralement ronde, utilisée pour fixer d'autres pièces en ses extrémités, ou bien utilisée pour des capteurs.",,http://simonbaudry.free.fr/dico-meca/2017-08-29_155257tige.png,,,
Fût. fût de vis,"Shank, pilot hole",Fonction mécanique,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_175938fut.png,,,
Coque,"Shell, case, casing",Design mécanique,,"Éléments à faible épaisseur entourant les parties fonctionnelles d'un système mécanique, et visibles de l'extérieur pour l'en protéger et-ou pour un effet visuel. La partie invisible de la coque peut avoir des éléments fonctionnels, ou non.",,http://simonbaudry.free.fr/dico-meca/2017-10-02_171022coque.png,,,
Clinquant,"Shim, foil",Composant mécanique,,"Tôle d'acier très mince utilisée notamment comme cale d'épaisseur, ou pour rendre de l'épaisseur à une partie usée de mécanisme.","Thin sheet of metal, usually manufactured with a rolling mill machine. Can be used as a spacer in order to give thickness to a worn out component.",http://simonbaudry.free.fr/dico-meca/2017-08-29_144253clinquant.png,,,
Cale (d'épaisseur),"Shim, spacer",Outil - instrument - machine,,Objet servant à combler un vide ou à immobiliser une partie mobile afin qu'elle ne puisse plus bouger.,"Thin and often tapered or wedged piece of material, used to fill small gaps or spaces between objects. Shims are typically used in order to support, adjust for better fit, or provide a level surface. Shims may also be used as spacers to fill gaps between parts subject to wear.",http://simonbaudry.free.fr/dico-meca/cale-1.png,http://simonbaudry.free.fr/dico-meca/steelshim.jpg,,
Épaulement,Shoulder,Fonction mécanique,,"Changement brusque de diamètre d'une pièce cylindrique, dont le but est généralement de servir de surface d'appui.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_155756gorge-saignee-collet-embase-epaulement-chanfreins.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_142511axe.png,,
Retassure,"Sink mark, dent, shrinkage cavity",Défaut,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_153734retassure-gauchissement.png,,,
Masse,Sledgehammer,Outil - instrument - machine,,"Une masse est un outil à percussion, maniée à deux mains, constituée d'une partie lourde, la tête, de forme parallélépipèdique, souvent métallique et pesant habituellement plus de trois kilogrammes, manipulée par un manche, habituellement d'un mètre de long.","Tool with a large, flat, often metal head, attached to a long handle. The shape of its head allows a sledgehammer to apply more force than other hammers of similar size. ",http://simonbaudry.free.fr/dico-meca/masse-sledgehammer.jpg,,,
Douille,"Sleeve, socket",Composant mécanique,,Pièce cylindrique ou conique creuse posée sur une pièce pleine.,,http://simonbaudry.free.fr/dico-meca/2017-08-28_155520clavette-douille-manchon.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155308depouille-bossage-douille.png,,
Liaison glissière,"Slide joint, prismatic joint",Cinématique,,,Lower pair joint.,http://simonbaudry.free.fr/dico-meca/2017-09-12_180503-glissiere.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Fente,Slot,Design mécanique,,Petite rainure. ,,http://simonbaudry.free.fr/dico-meca/2017-08-29_151027fente.png,,,
douille,Socket,Fonction mécanique,,Ouverture dans laquelle rentre une autre pìece mécanique ou de fixation.  ou  Embout d'outil pour visser ou dévisser un élément de fixation.,Opening in any fitting that matches the outside diameter of another mechanical part.  or  Receptacle into which a tapered tool is inserted.,http://simonbaudry.free.fr/dico-meca/douille.jpg,,,
Mordache,Soft jaws,Outil - instrument - machine,,Une mordache est une plaque en matériau malléable rapportée sur chacun des mors d’un étau pour éviter la détérioration de la pièce lors du serrage.,,http://simonbaudry.free.fr/dico-meca/2019-02-23_mordache.png,http://simonbaudry.free.fr/dico-meca/2019-02-23_etau-mors-mordache.png,,
Entretoise,"Spacer, standoff",Composant mécanique,,Pièce rigide qui en relie deux autres et les maintient dans un écartement fixe.,"Structural component designed to link to parts, with a fixed space.",http://simonbaudry.free.fr/dico-meca/2017-08-29_150644entretoise.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_150614entretoise.png,,
"Liaison rotule, sphérique","Spherical joint, ball joint",Cinématique,,,Lower pair joint.,http://simonbaudry.free.fr/dico-meca/2017-09-12_180219-rotule.png,,,
"Liaison ponctuelle, liaison sphère-plan","Spherical slider joint, three dimension rolling contact",Cinématique,,,Higher pair joint.,http://simonbaudry.free.fr/dico-meca/2017-09-12_180049-ponctuelle.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
"Cannelure, arbre cannelé",Spline shaft,Fonction mécanique,,"Rainures taillées dans l'arbre ou dans le moyeu. Elles permettent de transmettre des couples importants, l'une mâle (l'arbre), l'autre femelle (le moyeu) ; dans certains cas, le moyeu peut coulisser sur l'arbre. Elles peuvent être à flancs parallèles ou à flancs curvilignes.","Ridges or teeth on a drive shaft that mesh with grooves in a mating piece and transfer torque to it, maintaining the angular correspondence between them",http://simonbaudry.free.fr/dico-meca/cannelure-alberi_bussole_420.png,http://simonbaudry.free.fr/dico-meca/490px-Spline-shaft.png,,
Palonnier,"Spreader, horn",Composant mécanique,,Pièce de répartition des efforts.  Terme parfois utilisé pour désigner les flasques de sortie allongées des servomoteurs.,"Part used to divide forces.  In french, can be used as ""horn"" for the output flange of the servomotors.",http://simonbaudry.free.fr/dico-meca/2017-11-22_170050palonnier.jpg,http://simonbaudry.free.fr/dico-meca/top_vi10-palonnier.png,,
Engrenage droit,Spur gear,Transmission de puissance,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_150259spurgear.png,,,
Butée,"Stop, end wall",Fonction mécanique,,Pièce ou partie du pièce ayant pour fonction de stoper mécaniquement la rotation ou translation d'une autre pièce en mouvement dans un même assemblage.,,http://simonbaudry.free.fr/dico-meca/2017-08-29_144031butee.png,,,
Sangle,Strap,"Composant mécanique, Elément de fixation",,,,,,,
Tasseau,Strip,"Composant mécanique, Travail du bois",,,,,,,
Entretoise de soutien,Strut,Fonction mécanique,,"Pièce rigide qui en relie deux autres et les maintient dans un écartement fixe, assurant une résistance longitudinale.",,http://simonbaudry.free.fr/dico-meca/2017-08-29_150816entretoise-soutien.png,,,
Goujon,Stud,Élements de fixation,,"Organe mécanique en forme de tige, parfois fileté, permettant de réaliser une liaison « indirecte, complète, rigide, démontable » entre une pièce équipée du goujon et une ou plusieurs autres traversées par le goujon et verrouillée par un écrou.",Relatively long rod that is threaded on both ends; the thread may extend along the complete length of the rod. They are designed to be used in tension.,http://simonbaudry.free.fr/dico-meca/2017-08-29_151651goujon.png,,,
Émerillon,Swivel,"Composant mécanique, Elément de fixation",,"Système de fixation permettant la rotation autour d'un axe (hameçon, mousqueton, etc.).","Connection that allows the connected object, such as a gun, chair or swivel caster to rotate horizontally or vertically.",,,,
Languette,Tab,Fonction mécanique,,Tenon d’une grande longueur destiné à rentrer dans une rainure et assurer en général une liaison glissière.,,http://simonbaudry.free.fr/dico-meca/2017-08-28_160356rainure-languette.png,,,
Goutte de suif,Tallow-drop,Design mécanique,,Calotte sphérique éventuellement raccordée par une portion de tore. ,,http://simonbaudry.free.fr/dico-meca/2017-08-29_145429goutte-de-suif.png,,,
Taraud,Tap,Outil - instrument - machine,,"Outil destiné à réaliser un taraudage, c'est-à-dire un filetage à l'intérieur d'un tube initialement lisse.", A tap is used to cut or form the female portion of the mating pair (e.g. a nut).  Process: tapping,http://simonbaudry.free.fr/dico-meca/800px-ThreadingTaps.jpg,,,
Plot de centrage,Tapered interlock,Fonction mécanique,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_153155plot-centrage.png,,,
Tenon,Tenon,Fonction mécanique,,Partie mâle d'une pièce de construction destinée à être enfoncée dans la partie femelle (mortaise ou rainure) d'une autre pièce et qui tient les deux par emboîtement.,"A mortise-and-tenon joint  is a means of joining two pieces of wood at an angle (usually 90°) to each other. A protruding tenon, cut at the end of one piece, fits into a corresponding recess, called a mortise, in the other.",http://simonbaudry.free.fr/dico-meca/Mortise_and_tenon.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_160228tenon-mortaise.png,,
Raboteuse,Thickness planer,"Outil - instrument - machine, Travail du bois",,"Machine-outil utilisée par le menuisier pour calibrer une pièce préalablement dressée (généralement à la dégauchisseuse) avec un état de surface désiré par une avance mécanique. La surface obtenue est une surface plane et parallèle à une surface de référence, précise au 1/10e de mm. Le calibrage de la pièce de bois à l'épaisseur et à la largeur désirées est obtenue par enlèvements successifs de matière.",Woodworking machine to trim boards to a consistent thickness throughout their length and flat on both surfaces.,http://simonbaudry.free.fr/dico-meca/2019-03-20_143149raboteuse.png,,,
Filetage,Thread,Élements de fixation,,Rainure hélicoïdale exécutée sur un cylindre. C’est la forme qui a été réalisée sur une vis. ,,http://simonbaudry.free.fr/dico-meca/2017-08-29_151313filletage.png,,,
Taraudage,Threading,Fonction mécanique,,Rainure hélicoïdale exécutée dans un alésage ou un perçage. C’est la forme qui a été réalisée dans un écrou. ,,http://simonbaudry.free.fr/dico-meca/2017-08-29_154941taraudage.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_155357-trou%20taraude.png,,
Sauterelle (de bridage),Toggle clamp,Ensemble de pièces mécaniques,,"Mécanisme destiné à fixer rapidement une pièce sur un châssis, notamment dans le domaine de l'usinage sur machine-outil. Le bridage ou clampage de la pièce est assuré par la friction sur le patin de contact.",,http://simonbaudry.free.fr/dico-meca/sauterelles-toggle-clamps.png,http://simonbaudry.free.fr/dico-meca/sauterelle-de-bridage-toggle-clamp.png,,
Gouge,"Tubular chisel, gouge",Outil - instrument - machine,,"Ciseau en demi-tube, servant à creuser, généralement le bois","chisel with a concave blade, used in carpentry, sculpture, and surgery.",http://simonbaudry.free.fr/dico-meca/gouge2.jpg,http://simonbaudry.free.fr/dico-meca/gouge1.jpg,,
"Dégagement, sortie d'outil",Undercut,Design mécanique,,"Evidement généralement destiné à éviter le contact de deux pièces suivant une ligne, ou assurer le passage d’une pièce. ",,http://simonbaudry.free.fr/dico-meca/2017-08-28_160457sortied'outil-degagement.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155438evidement-degagement.png,,
"Liaison rotule à doigt, sphérique à doigt",Universal joint,Cinématique,,,,http://simonbaudry.free.fr/dico-meca/2017-09-12_180556rotule-doigt.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Joint de Cardan,"Universal joint, U-joint, Cardan joint, Spicer or Hardy Spicer joint, or Hooke's joint",Transmission de puissance,,Dispositif mécanique qui permet la transmission d'une rotation angulaire entre deux arbres dont les axes géométriques concourent en un même point. C'est une manière de réaliser une liaison rotule à doigt.,"Joint or coupling connecting rigid rods whose axes are inclined to each other, and is commonly used in shafts that transmit rotary motion. It consists of a pair of hinges located close together, oriented at 90° to each other, connected by a cross shaft. The universal joint is not a constant-velocity joint.",http://simonbaudry.free.fr/dico-meca/cardan.gif,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Extrados,Upper surface,Design mécanique,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_141133extrados-intrados.png,,,
"Point, vertice, sommet",Vertex,Géométrie,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_153028face-edge-vertex.png,,,
Etau,"Vise, vice",Outil - instrument - machine,,"Dispositif mécanique qui permet la « mise en position » et le « maintien en position » (serrage) d'une pièce de bois ou de métal, pour travailler dessus.","Mechanical apparatus used to secure an object to allow work to be performed on it. Vises have two parallel jaws, one fixed and the other movable, threaded in and out by a screw and lever.",http://simonbaudry.free.fr/dico-meca/2019-02-23_etau.png,,,
Cheville,"Wall plug, anchor",Composant mécanique,,"Système d'assemblage sous forme d'un petit cylindre plastique ou métal destiné à être inserré dans un mur, puis à y accueillir une vis de fixation. Différents types et matériaux pour différents types et matériaux de murs. ",Plastic insert used to enable the attachment of a screw in material that is porous or brittle or that would otherwise not support the weight of the object attached with the screw.,http://simonbaudry.free.fr/dico-meca/2018-03-28_090839-cheville1.png,,,
Gauchissement,"Warping, collapse",Défaut,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_153734retassure-gauchissement.png,,,
Rondelle,Washer,Eléments tournants,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_154107rondelles.png,,,
Roue d'engrenage,Wheel gear,Transmission de puissance,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_152928pignon-roue-entraxe.png,,,
